group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
not_parallel,,100000,,,1177341.0,ns,8
not_parallel,,100000,,,2197054.0,ns,16
not_parallel,,100000,,,3485237.0,ns,24
not_parallel,,100000,,,4202501.0,ns,32
not_parallel,,100000,,,5414222.0,ns,40
not_parallel,,100000,,,6651810.0,ns,48
not_parallel,,100000,,,7463638.0,ns,56
not_parallel,,100000,,,8459011.0,ns,64
not_parallel,,100000,,,9609716.0,ns,72
not_parallel,,100000,,,10545951.0,ns,80
not_parallel,,100000,,,11599719.0,ns,88
not_parallel,,100000,,,12606271.0,ns,96
not_parallel,,100000,,,13735079.0,ns,104
not_parallel,,100000,,,14786217.0,ns,112
not_parallel,,100000,,,16001089.0,ns,120
not_parallel,,100000,,,16823965.0,ns,128
not_parallel,,100000,,,18118659.0,ns,136
not_parallel,,100000,,,18929678.0,ns,144
not_parallel,,100000,,,21404668.0,ns,152
not_parallel,,100000,,,21197361.0,ns,160
not_parallel,,100000,,,22323030.0,ns,168
not_parallel,,100000,,,23390586.0,ns,176
not_parallel,,100000,,,24198184.0,ns,184
not_parallel,,100000,,,25885393.0,ns,192
not_parallel,,100000,,,26546533.0,ns,200
not_parallel,,100000,,,27381484.0,ns,208
not_parallel,,100000,,,28557668.0,ns,216
not_parallel,,100000,,,29464368.0,ns,224
not_parallel,,100000,,,30631709.0,ns,232
not_parallel,,100000,,,31667318.0,ns,240
not_parallel,,100000,,,32653348.0,ns,248
not_parallel,,100000,,,33865720.0,ns,256
not_parallel,,100000,,,35310196.0,ns,264
not_parallel,,100000,,,37353425.0,ns,272
not_parallel,,100000,,,36978516.0,ns,280
not_parallel,,100000,,,37964849.0,ns,288
not_parallel,,100000,,,39032490.0,ns,296
not_parallel,,100000,,,40078094.0,ns,304
not_parallel,,100000,,,41119240.0,ns,312
not_parallel,,100000,,,47404978.0,ns,320
not_parallel,,100000,,,48518107.0,ns,328
not_parallel,,100000,,,44552348.0,ns,336
not_parallel,,100000,,,45365334.0,ns,344
not_parallel,,100000,,,46525758.0,ns,352
not_parallel,,100000,,,47431916.0,ns,360
not_parallel,,100000,,,48578169.0,ns,368
not_parallel,,100000,,,49597835.0,ns,376
not_parallel,,100000,,,50708203.0,ns,384
not_parallel,,100000,,,52164433.0,ns,392
not_parallel,,100000,,,52960534.0,ns,400
not_parallel,,100000,,,53976568.0,ns,408
not_parallel,,100000,,,54993782.0,ns,416
not_parallel,,100000,,,56831960.0,ns,424
not_parallel,,100000,,,57366528.0,ns,432
not_parallel,,100000,,,58176313.0,ns,440
not_parallel,,100000,,,59309105.0,ns,448
not_parallel,,100000,,,62895104.0,ns,456
not_parallel,,100000,,,61495574.0,ns,464
not_parallel,,100000,,,65039936.0,ns,472
not_parallel,,100000,,,63698371.0,ns,480
not_parallel,,100000,,,64389621.0,ns,488
not_parallel,,100000,,,65380905.0,ns,496
not_parallel,,100000,,,66650407.0,ns,504
not_parallel,,100000,,,67469733.0,ns,512
not_parallel,,100000,,,68604898.0,ns,520
not_parallel,,100000,,,70696782.0,ns,528
not_parallel,,100000,,,71081152.0,ns,536
not_parallel,,100000,,,71956661.0,ns,544
not_parallel,,100000,,,72731303.0,ns,552
not_parallel,,100000,,,74335167.0,ns,560
not_parallel,,100000,,,75290551.0,ns,568
not_parallel,,100000,,,76059793.0,ns,576
not_parallel,,100000,,,78873286.0,ns,584
not_parallel,,100000,,,78554013.0,ns,592
not_parallel,,100000,,,79221207.0,ns,600
not_parallel,,100000,,,80248370.0,ns,608
not_parallel,,100000,,,81356232.0,ns,616
not_parallel,,100000,,,84203770.0,ns,624
not_parallel,,100000,,,84391788.0,ns,632
not_parallel,,100000,,,84413204.0,ns,640
not_parallel,,100000,,,85581731.0,ns,648
not_parallel,,100000,,,86961868.0,ns,656
not_parallel,,100000,,,87834926.0,ns,664
not_parallel,,100000,,,88683160.0,ns,672
not_parallel,,100000,,,92006334.0,ns,680
not_parallel,,100000,,,91366686.0,ns,688
not_parallel,,100000,,,92263969.0,ns,696
not_parallel,,100000,,,93021731.0,ns,704
not_parallel,,100000,,,94057359.0,ns,712
not_parallel,,100000,,,96369225.0,ns,720
not_parallel,,100000,,,96219150.0,ns,728
not_parallel,,100000,,,97851359.0,ns,736
not_parallel,,100000,,,99776055.0,ns,744
not_parallel,,100000,,,101052410.0,ns,752
not_parallel,,100000,,,100348178.0,ns,760
not_parallel,,100000,,,104547199.0,ns,768
not_parallel,,100000,,,102567405.0,ns,776
not_parallel,,100000,,,104127938.0,ns,784
not_parallel,,100000,,,104435688.0,ns,792
not_parallel,,100000,,,106184392.0,ns,800
