group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
not_parallel,,1000,,,1091152.0,ns,539
not_parallel,,1000,,,1981095.0,ns,1078
not_parallel,,1000,,,3327005.0,ns,1617
not_parallel,,1000,,,4093279.0,ns,2156
not_parallel,,1000,,,4936437.0,ns,2695
not_parallel,,1000,,,6213227.0,ns,3234
not_parallel,,1000,,,7021318.0,ns,3773
not_parallel,,1000,,,7653298.0,ns,4312
not_parallel,,1000,,,9056083.0,ns,4851
not_parallel,,1000,,,9669080.0,ns,5390
not_parallel,,1000,,,10470104.0,ns,5929
not_parallel,,1000,,,11305468.0,ns,6468
not_parallel,,1000,,,12205171.0,ns,7007
not_parallel,,1000,,,13253071.0,ns,7546
not_parallel,,1000,,,14013863.0,ns,8085
not_parallel,,1000,,,15180324.0,ns,8624
not_parallel,,1000,,,15961350.0,ns,9163
not_parallel,,1000,,,17022038.0,ns,9702
not_parallel,,1000,,,17806407.0,ns,10241
not_parallel,,1000,,,18750495.0,ns,10780
not_parallel,,1000,,,19976480.0,ns,11319
not_parallel,,1000,,,20579234.0,ns,11858
not_parallel,,1000,,,21521054.0,ns,12397
not_parallel,,1000,,,22667360.0,ns,12936
not_parallel,,1000,,,23814764.0,ns,13475
not_parallel,,1000,,,24457409.0,ns,14014
not_parallel,,1000,,,25301045.0,ns,14553
not_parallel,,1000,,,26946914.0,ns,15092
not_parallel,,1000,,,27270920.0,ns,15631
not_parallel,,1000,,,28186766.0,ns,16170
not_parallel,,1000,,,29166833.0,ns,16709
not_parallel,,1000,,,30091829.0,ns,17248
not_parallel,,1000,,,32188847.0,ns,17787
not_parallel,,1000,,,32272290.0,ns,18326
not_parallel,,1000,,,34723605.0,ns,18865
not_parallel,,1000,,,33960686.0,ns,19404
not_parallel,,1000,,,34690832.0,ns,19943
not_parallel,,1000,,,35873278.0,ns,20482
not_parallel,,1000,,,36876675.0,ns,21021
not_parallel,,1000,,,37591841.0,ns,21560
not_parallel,,1000,,,38829309.0,ns,22099
not_parallel,,1000,,,39504107.0,ns,22638
not_parallel,,1000,,,40495538.0,ns,23177
not_parallel,,1000,,,41503604.0,ns,23716
not_parallel,,1000,,,42275878.0,ns,24255
not_parallel,,1000,,,44967363.0,ns,24794
not_parallel,,1000,,,44648111.0,ns,25333
not_parallel,,1000,,,45190364.0,ns,25872
not_parallel,,1000,,,46307659.0,ns,26411
not_parallel,,1000,,,48409972.0,ns,26950
not_parallel,,1000,,,49228692.0,ns,27489
not_parallel,,1000,,,50481680.0,ns,28028
not_parallel,,1000,,,49848878.0,ns,28567
not_parallel,,1000,,,50846083.0,ns,29106
not_parallel,,1000,,,51539630.0,ns,29645
not_parallel,,1000,,,52654612.0,ns,30184
not_parallel,,1000,,,58275015.0,ns,30723
not_parallel,,1000,,,60867255.0,ns,31262
not_parallel,,1000,,,55462688.0,ns,31801
not_parallel,,1000,,,56425047.0,ns,32340
not_parallel,,1000,,,57514743.0,ns,32879
not_parallel,,1000,,,58520390.0,ns,33418
not_parallel,,1000,,,59326185.0,ns,33957
not_parallel,,1000,,,60188237.0,ns,34496
not_parallel,,1000,,,63249099.0,ns,35035
not_parallel,,1000,,,62350901.0,ns,35574
not_parallel,,1000,,,63155555.0,ns,36113
not_parallel,,1000,,,64623160.0,ns,36652
not_parallel,,1000,,,65321724.0,ns,37191
not_parallel,,1000,,,65688551.0,ns,37730
not_parallel,,1000,,,66681130.0,ns,38269
not_parallel,,1000,,,68588944.0,ns,38808
not_parallel,,1000,,,70845222.0,ns,39347
not_parallel,,1000,,,72506124.0,ns,39886
not_parallel,,1000,,,70763077.0,ns,40425
not_parallel,,1000,,,72866299.0,ns,40964
not_parallel,,1000,,,72324800.0,ns,41503
not_parallel,,1000,,,73331808.0,ns,42042
not_parallel,,1000,,,74667904.0,ns,42581
not_parallel,,1000,,,76489668.0,ns,43120
not_parallel,,1000,,,76386906.0,ns,43659
not_parallel,,1000,,,77380964.0,ns,44198
not_parallel,,1000,,,78425673.0,ns,44737
not_parallel,,1000,,,79419907.0,ns,45276
not_parallel,,1000,,,80034530.0,ns,45815
not_parallel,,1000,,,82002094.0,ns,46354
not_parallel,,1000,,,84401139.0,ns,46893
not_parallel,,1000,,,82888016.0,ns,47432
not_parallel,,1000,,,83893204.0,ns,47971
not_parallel,,1000,,,85392012.0,ns,48510
not_parallel,,1000,,,85655062.0,ns,49049
not_parallel,,1000,,,88599164.0,ns,49588
not_parallel,,1000,,,87638046.0,ns,50127
not_parallel,,1000,,,90612373.0,ns,50666
not_parallel,,1000,,,89865207.0,ns,51205
not_parallel,,1000,,,91484104.0,ns,51744
not_parallel,,1000,,,91438208.0,ns,52283
not_parallel,,1000,,,95010350.0,ns,52822
not_parallel,,1000,,,93476606.0,ns,53361
not_parallel,,1000,,,93899537.0,ns,53900
