group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
parallel,,100000,,,1044250.0,ns,3
parallel,,100000,,,2323645.0,ns,6
parallel,,100000,,,3744867.0,ns,9
parallel,,100000,,,4901523.0,ns,12
parallel,,100000,,,5733176.0,ns,15
parallel,,100000,,,6501760.0,ns,18
parallel,,100000,,,7875981.0,ns,21
parallel,,100000,,,9169060.0,ns,24
parallel,,100000,,,10173024.0,ns,27
parallel,,100000,,,12784815.0,ns,30
parallel,,100000,,,12496582.0,ns,33
parallel,,100000,,,13562074.0,ns,36
parallel,,100000,,,14581685.0,ns,39
parallel,,100000,,,15673250.0,ns,42
parallel,,100000,,,17784590.0,ns,45
parallel,,100000,,,17596832.0,ns,48
parallel,,100000,,,18529658.0,ns,51
parallel,,100000,,,20127755.0,ns,54
parallel,,100000,,,21222904.0,ns,57
parallel,,100000,,,22919169.0,ns,60
parallel,,100000,,,24974209.0,ns,63
parallel,,100000,,,25401970.0,ns,66
parallel,,100000,,,26105721.0,ns,69
parallel,,100000,,,28069792.0,ns,72
parallel,,100000,,,29051297.0,ns,75
parallel,,100000,,,29213640.0,ns,78
parallel,,100000,,,30619544.0,ns,81
parallel,,100000,,,30587456.0,ns,84
parallel,,100000,,,32779763.0,ns,87
parallel,,100000,,,34196433.0,ns,90
parallel,,100000,,,35217566.0,ns,93
parallel,,100000,,,36231977.0,ns,96
parallel,,100000,,,37790616.0,ns,99
parallel,,100000,,,37793349.0,ns,102
parallel,,100000,,,39819055.0,ns,105
parallel,,100000,,,41094119.0,ns,108
parallel,,100000,,,43132208.0,ns,111
parallel,,100000,,,47472549.0,ns,114
parallel,,100000,,,46292896.0,ns,117
parallel,,100000,,,46528070.0,ns,120
parallel,,100000,,,47894608.0,ns,123
parallel,,100000,,,52102174.0,ns,126
parallel,,100000,,,52593824.0,ns,129
parallel,,100000,,,52877572.0,ns,132
parallel,,100000,,,50884850.0,ns,135
parallel,,100000,,,52578185.0,ns,138
parallel,,100000,,,54740869.0,ns,141
parallel,,100000,,,55637243.0,ns,144
parallel,,100000,,,56203165.0,ns,147
parallel,,100000,,,57236662.0,ns,150
parallel,,100000,,,57804212.0,ns,153
parallel,,100000,,,58476323.0,ns,156
parallel,,100000,,,61030374.0,ns,159
parallel,,100000,,,62298177.0,ns,162
parallel,,100000,,,63075704.0,ns,165
parallel,,100000,,,62867853.0,ns,168
parallel,,100000,,,64941046.0,ns,171
parallel,,100000,,,72920136.0,ns,174
parallel,,100000,,,65570528.0,ns,177
parallel,,100000,,,68893776.0,ns,180
parallel,,100000,,,67919343.0,ns,183
parallel,,100000,,,70846733.0,ns,186
parallel,,100000,,,74252225.0,ns,189
parallel,,100000,,,77151069.0,ns,192
parallel,,100000,,,73342150.0,ns,195
parallel,,100000,,,78716276.0,ns,198
parallel,,100000,,,78091191.0,ns,201
parallel,,100000,,,79125760.0,ns,204
parallel,,100000,,,78369572.0,ns,207
parallel,,100000,,,79751679.0,ns,210
parallel,,100000,,,81987169.0,ns,213
parallel,,100000,,,83917236.0,ns,216
parallel,,100000,,,84946411.0,ns,219
parallel,,100000,,,83509257.0,ns,222
parallel,,100000,,,86699897.0,ns,225
parallel,,100000,,,89905717.0,ns,228
parallel,,100000,,,89262549.0,ns,231
parallel,,100000,,,90032325.0,ns,234
parallel,,100000,,,90338170.0,ns,237
parallel,,100000,,,93610686.0,ns,240
parallel,,100000,,,94384156.0,ns,243
parallel,,100000,,,96299261.0,ns,246
parallel,,100000,,,94379023.0,ns,249
parallel,,100000,,,97740763.0,ns,252
parallel,,100000,,,95348561.0,ns,255
parallel,,100000,,,99613214.0,ns,258
parallel,,100000,,,102222643.0,ns,261
parallel,,100000,,,102367049.0,ns,264
parallel,,100000,,,102875287.0,ns,267
parallel,,100000,,,103681773.0,ns,270
parallel,,100000,,,105987103.0,ns,273
parallel,,100000,,,104081339.0,ns,276
parallel,,100000,,,108436384.0,ns,279
parallel,,100000,,,109518248.0,ns,282
parallel,,100000,,,110806767.0,ns,285
parallel,,100000,,,109966487.0,ns,288
parallel,,100000,,,111730213.0,ns,291
parallel,,100000,,,113399728.0,ns,294
parallel,,100000,,,111909434.0,ns,297
parallel,,100000,,,113039976.0,ns,300
