group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
parallel,,1000000,,,2816945.0,ns,1
parallel,,1000000,,,5299683.0,ns,2
parallel,,1000000,,,8420246.0,ns,3
parallel,,1000000,,,10071888.0,ns,4
parallel,,1000000,,,12635768.0,ns,5
parallel,,1000000,,,15108667.0,ns,6
parallel,,1000000,,,17515053.0,ns,7
parallel,,1000000,,,20225341.0,ns,8
parallel,,1000000,,,22813222.0,ns,9
parallel,,1000000,,,25283861.0,ns,10
parallel,,1000000,,,27360818.0,ns,11
parallel,,1000000,,,29688652.0,ns,12
parallel,,1000000,,,33023370.0,ns,13
parallel,,1000000,,,35660397.0,ns,14
parallel,,1000000,,,37915340.0,ns,15
parallel,,1000000,,,40731402.0,ns,16
parallel,,1000000,,,42589573.0,ns,17
parallel,,1000000,,,45507820.0,ns,18
parallel,,1000000,,,47619071.0,ns,19
parallel,,1000000,,,53070563.0,ns,20
parallel,,1000000,,,55717321.0,ns,21
parallel,,1000000,,,55308416.0,ns,22
parallel,,1000000,,,57972661.0,ns,23
parallel,,1000000,,,60802199.0,ns,24
parallel,,1000000,,,62588161.0,ns,25
parallel,,1000000,,,64836219.0,ns,26
parallel,,1000000,,,68435731.0,ns,27
parallel,,1000000,,,71013826.0,ns,28
parallel,,1000000,,,73062650.0,ns,29
parallel,,1000000,,,75170540.0,ns,30
parallel,,1000000,,,78922012.0,ns,31
parallel,,1000000,,,80873386.0,ns,32
parallel,,1000000,,,83601873.0,ns,33
parallel,,1000000,,,86679961.0,ns,34
parallel,,1000000,,,90412493.0,ns,35
parallel,,1000000,,,93313033.0,ns,36
parallel,,1000000,,,93096746.0,ns,37
parallel,,1000000,,,95457397.0,ns,38
parallel,,1000000,,,99641802.0,ns,39
parallel,,1000000,,,103047794.0,ns,40
parallel,,1000000,,,103461096.0,ns,41
parallel,,1000000,,,105819508.0,ns,42
parallel,,1000000,,,107717236.0,ns,43
parallel,,1000000,,,119242057.0,ns,44
parallel,,1000000,,,117709829.0,ns,45
parallel,,1000000,,,115911714.0,ns,46
parallel,,1000000,,,117777135.0,ns,47
parallel,,1000000,,,121002570.0,ns,48
parallel,,1000000,,,123738295.0,ns,49
parallel,,1000000,,,126250441.0,ns,50
parallel,,1000000,,,128173582.0,ns,51
parallel,,1000000,,,146404350.0,ns,52
parallel,,1000000,,,140726478.0,ns,53
parallel,,1000000,,,135087841.0,ns,54
parallel,,1000000,,,139741710.0,ns,55
parallel,,1000000,,,142494011.0,ns,56
parallel,,1000000,,,144712203.0,ns,57
parallel,,1000000,,,146954832.0,ns,58
parallel,,1000000,,,152202511.0,ns,59
parallel,,1000000,,,152952782.0,ns,60
parallel,,1000000,,,153929815.0,ns,61
parallel,,1000000,,,158302696.0,ns,62
parallel,,1000000,,,161491847.0,ns,63
parallel,,1000000,,,161898837.0,ns,64
parallel,,1000000,,,165230698.0,ns,65
parallel,,1000000,,,169500491.0,ns,66
parallel,,1000000,,,168157870.0,ns,67
parallel,,1000000,,,173239411.0,ns,68
parallel,,1000000,,,174651137.0,ns,69
parallel,,1000000,,,176801250.0,ns,70
parallel,,1000000,,,181673040.0,ns,71
parallel,,1000000,,,184433935.0,ns,72
parallel,,1000000,,,184218829.0,ns,73
parallel,,1000000,,,189059830.0,ns,74
parallel,,1000000,,,190578507.0,ns,75
parallel,,1000000,,,191763910.0,ns,76
parallel,,1000000,,,197006236.0,ns,77
parallel,,1000000,,,199516523.0,ns,78
parallel,,1000000,,,200969659.0,ns,79
parallel,,1000000,,,204383696.0,ns,80
parallel,,1000000,,,205079438.0,ns,81
parallel,,1000000,,,213543212.0,ns,82
parallel,,1000000,,,209529516.0,ns,83
parallel,,1000000,,,212367609.0,ns,84
parallel,,1000000,,,214139228.0,ns,85
parallel,,1000000,,,220812677.0,ns,86
parallel,,1000000,,,221791319.0,ns,87
parallel,,1000000,,,223102543.0,ns,88
parallel,,1000000,,,224946642.0,ns,89
parallel,,1000000,,,228017987.0,ns,90
parallel,,1000000,,,231912433.0,ns,91
parallel,,1000000,,,232534934.0,ns,92
parallel,,1000000,,,235984899.0,ns,93
parallel,,1000000,,,240826114.0,ns,94
parallel,,1000000,,,241523433.0,ns,95
parallel,,1000000,,,242186082.0,ns,96
parallel,,1000000,,,246403498.0,ns,97
parallel,,1000000,,,248312814.0,ns,98
parallel,,1000000,,,251735505.0,ns,99
parallel,,1000000,,,255221518.0,ns,100
