group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
parallel,,1000,,,830053.0,ns,21
parallel,,1000,,,1668727.0,ns,42
parallel,,1000,,,2648353.0,ns,63
parallel,,1000,,,3629671.0,ns,84
parallel,,1000,,,4198980.0,ns,105
parallel,,1000,,,5022623.0,ns,126
parallel,,1000,,,5805614.0,ns,147
parallel,,1000,,,6642456.0,ns,168
parallel,,1000,,,7621052.0,ns,189
parallel,,1000,,,8473579.0,ns,210
parallel,,1000,,,9122987.0,ns,231
parallel,,1000,,,9999479.0,ns,252
parallel,,1000,,,10829269.0,ns,273
parallel,,1000,,,11648328.0,ns,294
parallel,,1000,,,12543982.0,ns,315
parallel,,1000,,,15916491.0,ns,336
parallel,,1000,,,14344336.0,ns,357
parallel,,1000,,,15173137.0,ns,378
parallel,,1000,,,16327047.0,ns,399
parallel,,1000,,,16791738.0,ns,420
parallel,,1000,,,17625247.0,ns,441
parallel,,1000,,,18473557.0,ns,462
parallel,,1000,,,19256650.0,ns,483
parallel,,1000,,,20159046.0,ns,504
parallel,,1000,,,20968877.0,ns,525
parallel,,1000,,,21974626.0,ns,546
parallel,,1000,,,22706466.0,ns,567
parallel,,1000,,,23591282.0,ns,588
parallel,,1000,,,24372986.0,ns,609
parallel,,1000,,,25532005.0,ns,630
parallel,,1000,,,26037112.0,ns,651
parallel,,1000,,,26214771.0,ns,672
parallel,,1000,,,27595606.0,ns,693
parallel,,1000,,,28310959.0,ns,714
parallel,,1000,,,29298229.0,ns,735
parallel,,1000,,,30129175.0,ns,756
parallel,,1000,,,30907270.0,ns,777
parallel,,1000,,,31777754.0,ns,798
parallel,,1000,,,32923118.0,ns,819
parallel,,1000,,,33363511.0,ns,840
parallel,,1000,,,34294655.0,ns,861
parallel,,1000,,,35528389.0,ns,882
parallel,,1000,,,35981781.0,ns,903
parallel,,1000,,,38260719.0,ns,924
parallel,,1000,,,41997499.0,ns,945
parallel,,1000,,,38956864.0,ns,966
parallel,,1000,,,39614137.0,ns,987
parallel,,1000,,,40638594.0,ns,1008
parallel,,1000,,,40789024.0,ns,1029
parallel,,1000,,,41630203.0,ns,1050
parallel,,1000,,,42473382.0,ns,1071
parallel,,1000,,,43535542.0,ns,1092
parallel,,1000,,,44173247.0,ns,1113
parallel,,1000,,,65276619.0,ns,1134
parallel,,1000,,,46215993.0,ns,1155
parallel,,1000,,,47093002.0,ns,1176
parallel,,1000,,,48117921.0,ns,1197
parallel,,1000,,,51373030.0,ns,1218
parallel,,1000,,,49497030.0,ns,1239
parallel,,1000,,,50221594.0,ns,1260
parallel,,1000,,,50788698.0,ns,1281
parallel,,1000,,,51941768.0,ns,1302
parallel,,1000,,,52573638.0,ns,1323
parallel,,1000,,,53221425.0,ns,1344
parallel,,1000,,,54375453.0,ns,1365
parallel,,1000,,,56632172.0,ns,1386
parallel,,1000,,,55862388.0,ns,1407
parallel,,1000,,,56996805.0,ns,1428
parallel,,1000,,,57389487.0,ns,1449
parallel,,1000,,,58454637.0,ns,1470
parallel,,1000,,,59656319.0,ns,1491
parallel,,1000,,,60094946.0,ns,1512
parallel,,1000,,,61372699.0,ns,1533
parallel,,1000,,,61689998.0,ns,1554
parallel,,1000,,,62521204.0,ns,1575
parallel,,1000,,,64284553.0,ns,1596
parallel,,1000,,,64668160.0,ns,1617
parallel,,1000,,,64790835.0,ns,1638
parallel,,1000,,,65647515.0,ns,1659
parallel,,1000,,,66381056.0,ns,1680
parallel,,1000,,,68238325.0,ns,1701
parallel,,1000,,,68725550.0,ns,1722
parallel,,1000,,,68975931.0,ns,1743
parallel,,1000,,,76277860.0,ns,1764
parallel,,1000,,,71457777.0,ns,1785
parallel,,1000,,,72333484.0,ns,1806
parallel,,1000,,,72504390.0,ns,1827
parallel,,1000,,,73967111.0,ns,1848
parallel,,1000,,,75013439.0,ns,1869
parallel,,1000,,,76746851.0,ns,1890
parallel,,1000,,,76069316.0,ns,1911
parallel,,1000,,,76881823.0,ns,1932
parallel,,1000,,,77692985.0,ns,1953
parallel,,1000,,,78502322.0,ns,1974
parallel,,1000,,,80456640.0,ns,1995
parallel,,1000,,,80181416.0,ns,2016
parallel,,1000,,,81008070.0,ns,2037
parallel,,1000,,,81714985.0,ns,2058
parallel,,1000,,,82516020.0,ns,2079
parallel,,1000,,,89298803.0,ns,2100
