group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
parallel,,1000000,,,2820812.0,ns,1
parallel,,1000000,,,5260967.0,ns,2
parallel,,1000000,,,8244928.0,ns,3
parallel,,1000000,,,10342644.0,ns,4
parallel,,1000000,,,12627960.0,ns,5
parallel,,1000000,,,15162484.0,ns,6
parallel,,1000000,,,18044114.0,ns,7
parallel,,1000000,,,20279252.0,ns,8
parallel,,1000000,,,22591267.0,ns,9
parallel,,1000000,,,25681895.0,ns,10
parallel,,1000000,,,28133443.0,ns,11
parallel,,1000000,,,30252557.0,ns,12
parallel,,1000000,,,33982098.0,ns,13
parallel,,1000000,,,35792987.0,ns,14
parallel,,1000000,,,38075319.0,ns,15
parallel,,1000000,,,40231175.0,ns,16
parallel,,1000000,,,42943303.0,ns,17
parallel,,1000000,,,45460123.0,ns,18
parallel,,1000000,,,48302740.0,ns,19
parallel,,1000000,,,52794897.0,ns,20
parallel,,1000000,,,53243472.0,ns,21
parallel,,1000000,,,55154669.0,ns,22
parallel,,1000000,,,58116926.0,ns,23
parallel,,1000000,,,60893278.0,ns,24
parallel,,1000000,,,63251306.0,ns,25
parallel,,1000000,,,67117566.0,ns,26
parallel,,1000000,,,68249396.0,ns,27
parallel,,1000000,,,72336761.0,ns,28
parallel,,1000000,,,73934121.0,ns,29
parallel,,1000000,,,75923420.0,ns,30
parallel,,1000000,,,78650107.0,ns,31
parallel,,1000000,,,80532314.0,ns,32
parallel,,1000000,,,83826756.0,ns,33
parallel,,1000000,,,91529284.0,ns,34
parallel,,1000000,,,90626411.0,ns,35
parallel,,1000000,,,90415203.0,ns,36
parallel,,1000000,,,94059713.0,ns,37
parallel,,1000000,,,97475810.0,ns,38
parallel,,1000000,,,111155707.0,ns,39
parallel,,1000000,,,100710391.0,ns,40
parallel,,1000000,,,103658686.0,ns,41
parallel,,1000000,,,106465773.0,ns,42
parallel,,1000000,,,108560688.0,ns,43
parallel,,1000000,,,112660264.0,ns,44
parallel,,1000000,,,115100603.0,ns,45
parallel,,1000000,,,115807213.0,ns,46
parallel,,1000000,,,119577946.0,ns,47
parallel,,1000000,,,123588817.0,ns,48
parallel,,1000000,,,124031531.0,ns,49
parallel,,1000000,,,126298533.0,ns,50
parallel,,1000000,,,129010246.0,ns,51
parallel,,1000000,,,132575629.0,ns,52
parallel,,1000000,,,135375545.0,ns,53
parallel,,1000000,,,136675392.0,ns,54
parallel,,1000000,,,139630138.0,ns,55
parallel,,1000000,,,148339230.0,ns,56
parallel,,1000000,,,145604681.0,ns,57
parallel,,1000000,,,148603553.0,ns,58
parallel,,1000000,,,150758251.0,ns,59
parallel,,1000000,,,151512602.0,ns,60
parallel,,1000000,,,154236581.0,ns,61
parallel,,1000000,,,172921502.0,ns,62
parallel,,1000000,,,160608252.0,ns,63
parallel,,1000000,,,165833445.0,ns,64
parallel,,1000000,,,164700734.0,ns,65
parallel,,1000000,,,176150764.0,ns,66
parallel,,1000000,,,168683355.0,ns,67
parallel,,1000000,,,173128634.0,ns,68
parallel,,1000000,,,178349428.0,ns,69
parallel,,1000000,,,177640148.0,ns,70
parallel,,1000000,,,199367943.0,ns,71
parallel,,1000000,,,183330066.0,ns,72
parallel,,1000000,,,187170230.0,ns,73
parallel,,1000000,,,189479560.0,ns,74
parallel,,1000000,,,189261940.0,ns,75
parallel,,1000000,,,192802299.0,ns,76
parallel,,1000000,,,196654075.0,ns,77
parallel,,1000000,,,204892302.0,ns,78
parallel,,1000000,,,204831322.0,ns,79
parallel,,1000000,,,202945495.0,ns,80
parallel,,1000000,,,206267749.0,ns,81
parallel,,1000000,,,208769150.0,ns,82
parallel,,1000000,,,208783104.0,ns,83
parallel,,1000000,,,212366596.0,ns,84
parallel,,1000000,,,214443813.0,ns,85
parallel,,1000000,,,220078472.0,ns,86
parallel,,1000000,,,219958206.0,ns,87
parallel,,1000000,,,223851463.0,ns,88
parallel,,1000000,,,226569642.0,ns,89
parallel,,1000000,,,229127201.0,ns,90
parallel,,1000000,,,231700463.0,ns,91
parallel,,1000000,,,246724809.0,ns,92
parallel,,1000000,,,234932264.0,ns,93
parallel,,1000000,,,238864581.0,ns,94
parallel,,1000000,,,245894344.0,ns,95
parallel,,1000000,,,242383266.0,ns,96
parallel,,1000000,,,245593845.0,ns,97
parallel,,1000000,,,247497845.0,ns,98
parallel,,1000000,,,254735434.0,ns,99
parallel,,1000000,,,254973088.0,ns,100
