group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
not_parallel,,1000000,,,1486611.0,ns,1
not_parallel,,1000000,,,2814755.0,ns,2
not_parallel,,1000000,,,4198959.0,ns,3
not_parallel,,1000000,,,5620184.0,ns,4
not_parallel,,1000000,,,7190527.0,ns,5
not_parallel,,1000000,,,8710070.0,ns,6
not_parallel,,1000000,,,9556032.0,ns,7
not_parallel,,1000000,,,10486477.0,ns,8
not_parallel,,1000000,,,11880651.0,ns,9
not_parallel,,1000000,,,13085050.0,ns,10
not_parallel,,1000000,,,14353041.0,ns,11
not_parallel,,1000000,,,15827261.0,ns,12
not_parallel,,1000000,,,17015601.0,ns,13
not_parallel,,1000000,,,18357634.0,ns,14
not_parallel,,1000000,,,20033083.0,ns,15
not_parallel,,1000000,,,21160986.0,ns,16
not_parallel,,1000000,,,22239552.0,ns,17
not_parallel,,1000000,,,23721284.0,ns,18
not_parallel,,1000000,,,25135510.0,ns,19
not_parallel,,1000000,,,26480492.0,ns,20
not_parallel,,1000000,,,27424960.0,ns,21
not_parallel,,1000000,,,29423249.0,ns,22
not_parallel,,1000000,,,30474536.0,ns,23
not_parallel,,1000000,,,31363182.0,ns,24
not_parallel,,1000000,,,32710699.0,ns,25
not_parallel,,1000000,,,34321683.0,ns,26
not_parallel,,1000000,,,35246962.0,ns,27
not_parallel,,1000000,,,36784046.0,ns,28
not_parallel,,1000000,,,40169211.0,ns,29
not_parallel,,1000000,,,39393820.0,ns,30
not_parallel,,1000000,,,40648246.0,ns,31
not_parallel,,1000000,,,41838400.0,ns,32
not_parallel,,1000000,,,43140167.0,ns,33
not_parallel,,1000000,,,44820109.0,ns,34
not_parallel,,1000000,,,45828512.0,ns,35
not_parallel,,1000000,,,47954871.0,ns,36
not_parallel,,1000000,,,48418962.0,ns,37
not_parallel,,1000000,,,49996904.0,ns,38
not_parallel,,1000000,,,51254814.0,ns,39
not_parallel,,1000000,,,52425885.0,ns,40
not_parallel,,1000000,,,54084614.0,ns,41
not_parallel,,1000000,,,56341784.0,ns,42
not_parallel,,1000000,,,56319017.0,ns,43
not_parallel,,1000000,,,57699167.0,ns,44
not_parallel,,1000000,,,59395176.0,ns,45
not_parallel,,1000000,,,60128732.0,ns,46
not_parallel,,1000000,,,62349067.0,ns,47
not_parallel,,1000000,,,68008478.0,ns,48
not_parallel,,1000000,,,66147224.0,ns,49
not_parallel,,1000000,,,65542048.0,ns,50
not_parallel,,1000000,,,67112755.0,ns,51
not_parallel,,1000000,,,67952937.0,ns,52
not_parallel,,1000000,,,69551930.0,ns,53
not_parallel,,1000000,,,70651382.0,ns,54
not_parallel,,1000000,,,71946799.0,ns,55
not_parallel,,1000000,,,73466765.0,ns,56
not_parallel,,1000000,,,76155073.0,ns,57
not_parallel,,1000000,,,76159627.0,ns,58
not_parallel,,1000000,,,77353452.0,ns,59
not_parallel,,1000000,,,79132194.0,ns,60
not_parallel,,1000000,,,79989184.0,ns,61
not_parallel,,1000000,,,83391769.0,ns,62
not_parallel,,1000000,,,82501995.0,ns,63
not_parallel,,1000000,,,83797234.0,ns,64
not_parallel,,1000000,,,85283456.0,ns,65
not_parallel,,1000000,,,86956931.0,ns,66
not_parallel,,1000000,,,109957867.0,ns,67
not_parallel,,1000000,,,90884223.0,ns,68
not_parallel,,1000000,,,90982747.0,ns,69
not_parallel,,1000000,,,91708774.0,ns,70
not_parallel,,1000000,,,93632632.0,ns,71
not_parallel,,1000000,,,94512159.0,ns,72
not_parallel,,1000000,,,98739275.0,ns,73
not_parallel,,1000000,,,97839837.0,ns,74
not_parallel,,1000000,,,98569826.0,ns,75
not_parallel,,1000000,,,99585723.0,ns,76
not_parallel,,1000000,,,100932450.0,ns,77
not_parallel,,1000000,,,102180097.0,ns,78
not_parallel,,1000000,,,104583171.0,ns,79
not_parallel,,1000000,,,104836029.0,ns,80
not_parallel,,1000000,,,106158092.0,ns,81
not_parallel,,1000000,,,107445692.0,ns,82
not_parallel,,1000000,,,112665900.0,ns,83
not_parallel,,1000000,,,110376587.0,ns,84
not_parallel,,1000000,,,111695205.0,ns,85
not_parallel,,1000000,,,114157616.0,ns,86
not_parallel,,1000000,,,114309240.0,ns,87
not_parallel,,1000000,,,116790982.0,ns,88
not_parallel,,1000000,,,116804785.0,ns,89
not_parallel,,1000000,,,118008295.0,ns,90
not_parallel,,1000000,,,120179095.0,ns,91
not_parallel,,1000000,,,121618530.0,ns,92
not_parallel,,1000000,,,122271627.0,ns,93
not_parallel,,1000000,,,122990269.0,ns,94
not_parallel,,1000000,,,139109531.0,ns,95
not_parallel,,1000000,,,129262720.0,ns,96
not_parallel,,1000000,,,126982543.0,ns,97
not_parallel,,1000000,,,128901878.0,ns,98
not_parallel,,1000000,,,140956111.0,ns,99
not_parallel,,1000000,,,132584497.0,ns,100
